file_offset,va,pointer_matches,text
0x531f18,0x932b18,,System.Bindings.Search
0x532076,0x932c76,,System.Bindings.Search
0x532099,0x932c99,,'TArray<System.Bindings.Search.TPrepare>
0x53214e,0x932d4e,0x932d00,",TEnumerator<System.Bindings.Search.TPrepare>("
0x5321a9,0x932da9,,",TEnumerator<System.Bindings.Search.TPrepare>8-"
0x5322ae,0x932eae,0x932e50,",TEnumerable<System.Bindings.Search.TPrepare>'"
0x532369,0x932f69,,",TEnumerable<System.Bindings.Search.TPrepare>"
0x5323c9,0x932fc9,,/TList<System.Bindings.Search.TPrepare>.arrayofT
0x532431,0x933031,,*IComparer<System.Bindings.Search.TPrepare>
0x532495,0x933095,,7TCollectionNotifyEvent<System.Bindings.Search.TPrepare>
0x532555,0x933155,,0TList<System.Bindings.Search.TPrepare>.ParrayofT
0x532591,0x933191,,",IEnumerable<System.Bindings.Search.TPrepare>"
0x5325e5,0x9331e5,,1TList<System.Bindings.Search.TPrepare>.TEmptyFunc
0x5326f1,0x9332f1,0x933270,2TList<System.Bindings.Search.TPrepare>.TEnumerator5
0x532789,0x933389,,2TList<System.Bindings.Search.TPrepare>.TEnumerator
0x532acd,0x9336cd,0x933434,&TList<System.Bindings.Search.TPrepare>&
0x533645,0x934245,,&TList<System.Bindings.Search.TPrepare>l4
0x533aa2,0x9346a2,,System.Bindings.Search
0x533b0e,0x93470e,,System.Bindings.Search
0x533b7a,0x93477a,,System.Bindings.Search
0x533c4e,0x93484e,0x9347b8,",TObjectList<System.Bindings.Search.TPrepare>&"
0x533da9,0x9349a9,,",TObjectList<System.Bindings.Search.TPrepare>"
0x53402b,0x934c2b,,System.Bindings.Search
0x534295,0x934e95,,System.Bindings.Search
0x5342f9,0x934ef9,,System.Bindings.Search
0x53435d,0x934f5d,,System.Bindings.Search
0x534562,0x935162,,System.Bindings.Search
0x535dc1,0x9369c1,,8.TList`1.Pack[1]$0$Intf<System.Bindings.Search.TPrepare>
0x535f06,0x936b06,0x936ab0,8@TList`1.Pack[1]$ActRec<System.Bindings.Search.TPrepare>
0x535f45,0x936b45,,8@TList`1.Pack[1]$ActRec<System.Bindings.Search.TPrepare>
0x535fb1,0x936bb1,,8.TList`1.Pack[0]$0$Intf<System.Bindings.Search.TPrepare>
0x53610c,0x936d0c,0x936ca0,8@TList`1.Pack[0]$ActRec<System.Bindings.Search.TPrepare>
0x53614d,0x936d4d,,8@TList`1.Pack[0]$ActRec<System.Bindings.Search.TPrepare>
0x536749,0x937349,,System.Bindings.Evaluator
0x5368df,0x9374df,,System.Bindings.Evaluator
0x536b53,0x937753,,System.Bindings.Evaluator
0x536c57,0x937857,,System.Bindings.Evaluator
0x536c7d,0x93787d,,+TArray<System.Bindings.EvalProtocol.IScope>
0x536d36,0x937936,0x9378e8,0TEnumerator<System.Bindings.EvalProtocol.IScope>(
0x536d95,0x937995,,0TEnumerator<System.Bindings.EvalProtocol.IScope> y
0x536e9e,0x937a9e,0x937a40,0TEnumerable<System.Bindings.EvalProtocol.IScope>'
0x536f5d,0x937b5d,,0TEnumerable<System.Bindings.EvalProtocol.IScope>xz
0x536fc1,0x937bc1,,4TStack<System.Bindings.EvalProtocol.IScope>.arrayOfT
0x53702d,0x937c2d,,;TCollectionNotifyEvent<System.Bindings.EvalProtocol.IScope>
0x5370f1,0x937cf1,,0IEnumerable<System.Bindings.EvalProtocol.IScope>
0x5371e6,0x937de6,0x937d64,7TStack<System.Bindings.EvalProtocol.IScope>.TEnumerator6
0x537281,0x937e81,,7TStack<System.Bindings.EvalProtocol.IScope>.TEnumerator
0x537488,0x938088,0x937f30,+TStack<System.Bindings.EvalProtocol.IScope>&
0x5376ed,0x9382ed,,+TStack<System.Bindings.EvalProtocol.IScope>h
0x53ad3d,0x93b93d,,System.Bindings.EvalSys
0x53af7f,0x93bb7f,,System.Bindings.EvalSys
0x53b1dc,0x93bddc,,System.Bindings.EvalSys
0x53b448,0x93c048,,System.Bindings.EvalSys
0x53b6c1,0x93c2c1,,System.Bindings.EvalSys
0x53ba2d,0x93c62d,,System.Bindings.EvalSys
0x53bab4,0x93c6b4,,System.Bindings.EvalSys
0x53bce8,0x93c8e8,,System.Bindings.EvalSys
0x53c14d,0x93cd4d,,System.Bindings.EvalSys
0x53d7e1,0x93e3e1,,"<TPair<System.string,System.Bindings.EvalProtocol.IInvokable>"
0x53f9c3,0x9405c3,,System.Bindings.EvalSys
0x53fbec,0x9407ec,,System.Bindings.EvalSys
0x53fdd5,0x9409d5,,System.Bindings.EvalSys
0x53fe2a,0x940a2a,,System.Bindings.EvalSys
0x53fe7e,0x940a7e,,System.Bindings.EvalSys
0x53fed2,0x940ad2,,System.Bindings.EvalSys
0x53ff26,0x940b26,,System.Bindings.EvalSys
0x53ff7a,0x940b7a,,System.Bindings.EvalSys
0x53ffcd,0x940bcd,,System.Bindings.EvalSys
0x540021,0x940c21,,System.Bindings.EvalSys
